"","Player","pay","Year","Pos","Age","Tm","G","MP","PER","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","MPG","PPG","APG","RPG","TOPG","BPG","SPG","weight","height"
"1","A.J. Hammons",1312611,2017,"C",24,"DAL",22,163,8.4,17,42,0.405,5,10,0.5,12,32,0.375,0.464,9,20,0.45,8,28,36,4,1,13,10,21,48,7.40909090909091,2.18181818181818,0.181818181818182,1.63636363636364,0.454545454545455,0.590909090909091,0.0454545454545455,260,84
"2","Aaron Brooks",2116955,2017,"PG",32,"IND",65,894,9.5,121,300,0.403,48,128,0.375,73,172,0.424,0.483,32,40,0.8,18,51,69,125,25,9,66,93,322,13.7538461538462,4.95384615384615,1.92307692307692,1.06153846153846,1.01538461538462,0.138461538461538,0.384615384615385,161,72
"3","Aaron Gordon",5504420,2017,"SF",21,"ORL",80,2298,14.4,393,865,0.454,77,267,0.288,316,598,0.528,0.499,156,217,0.719,116,289,405,150,64,40,89,172,1019,28.725,12.7375,1.875,5.0625,1.1125,0.5,0.8,220,81
"4","Al Horford",27734405,2017,"C",30,"BOS",68,2193,17.7,379,801,0.473,86,242,0.355,293,559,0.524,0.527,108,135,0.8,95,369,464,337,52,87,116,138,952,32.25,14,4.95588235294118,6.82352941176471,1.70588235294118,1.27941176470588,0.764705882352941,245,82
"5","Al Jefferson",9769821,2017,"C",32,"IND",66,931,18.9,235,471,0.499,0,1,0,235,470,0.5,0.499,65,85,0.765,75,203,278,57,19,16,33,125,535,14.1060606060606,8.10606060606061,0.863636363636364,4.21212121212121,0.5,0.242424242424242,0.287878787878788,289,82
"6","Al-Farouq Aminu",7319035,2017,"SF",26,"POR",61,1773,11.3,183,466,0.393,70,212,0.33,113,254,0.445,0.468,96,136,0.706,77,374,451,99,60,44,94,102,532,29.0655737704918,8.72131147540984,1.62295081967213,7.39344262295082,1.54098360655738,0.721311475409836,0.983606557377049,220,81
"7","Alan Williams",6e+06,2017,"C",24,"PHO",47,708,19.5,138,267,0.517,0,1,0,138,266,0.519,0.517,70,112,0.625,94,198,292,23,27,32,37,125,346,15.063829787234,7.36170212765957,0.48936170212766,6.21276595744681,0.787234042553192,0.680851063829787,0.574468085106383,260,80
"8","Alec Burks",10845506,2017,"SG",25,"UTA",42,653,11.6,99,248,0.399,25,76,0.329,74,172,0.43,0.45,60,78,0.769,17,103,120,30,18,5,35,50,283,15.547619047619,6.73809523809524,0.714285714285714,2.85714285714286,0.833333333333333,0.119047619047619,0.428571428571429,214,78
"9","Alex Abrines",5725000,2017,"SG",23,"OKC",68,1055,10.1,134,341,0.393,94,247,0.381,40,94,0.426,0.531,44,49,0.898,18,68,86,40,37,8,33,114,406,15.5147058823529,5.97058823529412,0.588235294117647,1.26470588235294,0.485294117647059,0.117647058823529,0.544117647058823,190,78
"10","Alex Len",4187599,2017,"C",23,"PHO",77,1560,15,230,463,0.497,3,12,0.25,227,451,0.503,0.5,150,208,0.721,156,354,510,44,37,98,102,242,613,20.2597402597403,7.96103896103896,0.571428571428571,6.62337662337662,1.32467532467532,1.27272727272727,0.480519480519481,260,85
